"H0004900","H0005001","R0000100","R0009600","R0173600","R0214800","T1298000","T1298100","T1298200","T1298300","T1298400","T2056800","T2056900","T2057000","T2057700","T2057800","T2209900","T2210000","T2210800","T2212300","T2217800","T2326500","T2326600","T2326700","T2326800","T2326900","T3027200","T3027300","T3027400","T3028100","T3028200","T3107700","T3107800","T3110200","T3115800","T3308700","T3308800","T3308900","T3309000","T3309100","T3958000","T3958100","T3958200","T3958900","T3959000","T4112200","T4112300","T4114700","T4120300","T4282800","T4282900","T4283000","T4283100","T4283200","T4895700","T4895800","T4895900","T4896600","T4896700","T5022500","T5022600","T5026000","T5031500","T5256900","T5257000","T5257100","T5257200","T5257300","T5599700","T5599800","T5599900","T5600600","T5600700","T5770700","T5770800","T5774100","T5779700","T8428300","T8428400","T8428500","T8428600","T8428700","T8624900","T8625300","T8625400","T8787800","T8787900","T8790500","T8796100","T8982400","T8982500","T8982600","T8982700","T8982800","T9183100","T9183800","T9183900","T9299600","T9299700","T9302300","T9307900"
0,-4,11,5,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,12,5,5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
0,-4,13,11,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
0,-4,14,11,5,2,800,5120,800,-4,-4,1,1,3,0,2,1,109750,44,3,0,120,-4,-4,-4,-4,1,3,4,0,2,1,106000,3,0,800,-4,-4,-4,-4,4,3,4,0,1,1,103000,2,0,800,-4,-4,-4,-4,3,1,3,0,1,1,77440,2,0,800,800,-4,-4,-4,4,1,1,0,2,1,72500,2,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
0,-4,15,11,1,1,-4,-4,-4,-4,-4,4,3,5,0,2,6,241000,44,2,4,-4,-4,-4,-4,-4,4,3,4,0,1,6,440692,2,4,-4,-4,-4,-4,-4,4,4,4,0,2,6,497763,2,4,-4,-4,-4,-4,-4,4,4,5,0,2,6,595986,2,4,-4,-4,-4,-4,-4,4,3,3,0,2,6,922631,2,4,-4,-4,-4,-4,-4,-4,0,2,6,803437,2,4,-4,-4,-4,-4,-4,4,0,2,4,773981,2,2
0,-4,16,12,5,2,110,-4,-4,-4,-4,4,3,3,0,2,4,66000,49,2,3,5700,2140,110,-4,-4,1,3,3,2,1,4,119000,2,3,5700,-4,-4,-4,-4,4,3,3,7,2,4,90000,2,3,5700,4900,-4,-4,-4,4,3,3,0,2,4,94000,3,3,5700,710,-4,-4,-4,4,3,2,2,2,2,107300,2,1,5700,-4,-4,-4,-4,-4,-4,-4,3,93000,2,2,5700,-4,-4,-4,-4,1,3,2,2,107000,2,1
0,-4,17,3,1,1,6660,-4,-4,-4,-4,4,4,4,10,2,2,94600,51,2,0,6660,-4,-4,-4,-4,3,5,5,7,2,2,89000,2,0,6660,-4,-4,-4,-4,3,5,5,0,2,1,60000,2,0,6660,-4,-4,-4,-4,3,5,5,0,2,1,68000,2,0,6660,-4,-4,-4,-4,3,5,5,0,2,1,73000,2,0,6660,-4,-4,-4,-4,-4,0,2,1,77000,2,0,6660,-4,-4,-4,-4,3,0,2,1,70000,2,0
0,-4,18,3,1,1,4850,-4,-4,-4,-4,1,2,2,0,1,2,101000,49,3,1,4850,-4,-4,-4,-4,1,4,4,0,2,3,60000,3,1,4760,-4,-4,-4,-4,1,4,3,0,2,1,150000,3,0,4760,-4,-4,-4,-4,1,2,3,0,2,1,151000,3,0,4760,-4,-4,-4,-4,3,1,1,9,2,1,120050,3,0,10,-4,-4,-4,-4,-4,0,2,1,180500,3,0,10,-4,-4,-4,-4,4,0,2,2,285500,3,0
0,-4,19,5,5,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4,-4,-4,-4,2,2,4,0,2,2,-1,2,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
0,-4,20,12,5,2,1460,-4,-4,-4,-4,3,3,2,0,2,3,144600,48,2,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,300,-4,-4,-4,-4,3,2,2,0,1,3,190500,2,1,300,-4,-4,-4,-4,3,2,2,0,2,3,195000,2,1,300,-4,-4,-4,-4,3,1,3,0,2,2,213000,2,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,430,-4,-4,-4,-4,4,0,2,2,773981,2,0
0,-4,21,12,5,2,50,-4,-4,-4,-4,1,1,2,0,2,2,-2,46,2,0,50,-4,-4,-4,-4,1,1,3,0,2,2,440692,2,0,1810,1810,-4,-4,-4,4,1,2,0,2,2,497763,2,0,1810,-4,-4,-4,-4,3,1,2,0,2,2,595986,2,0,1810,-4,-4,-4,-4,4,1,1,0,1,2,230000,2,0,1810,-4,-4,-4,-4,-4,0,1,2,56000,2,0,-4,-4,-4,-4,-4,1,0,2,2,134000,2,0
0,-4,22,22,5,2,420,-4,-4,-4,-4,1,2,2,0,2,2,96000,45,3,0,1060,420,-4,-4,-4,1,1,3,0,2,2,133250,3,0,1060,4430,-4,-4,-4,1,1,3,0,2,1,40250,3,0,3630,1060,-4,-4,-4,1,2,2,0,2,1,35700,3,0,3630,-4,-4,-4,-4,1,3,3,0,2,1,45200,3,0,3630,-4,-4,-4,-4,-4,-4,-4,1,72200,3,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
