1 2 9 1981 4 27 143500 3 3 -4 5 800 -4 -4 -4 -4 -4 -4 -4 -4 47000 9 3 -4 1 800 -4 -4 -4 -4 -4 -4 -4 -4 50000 9 3 -4 0 800 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 120000 9 3 -4 0 800 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4
2 1 7 1982 2 26 55000 1 3 -4 1 3850 -4 -4 -4 -4 -4 -4 -4 -4 52000 1 3 -4 4 3850 -4 -4 -4 -4 -4 -4 -4 -4 81000 1 3 -4 7 3850 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 98928 1 3 -4 1 3910 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4
3 2 9 1983 2 -5 26250 4 4 1 2 5700 4760 4760 4700 -4 -4 -4 -4 -4 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 150250 3 2 1 2 5700 5700 -4 -4 -4 -4 -4 -4 -4 -4 -4 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5
4 2 2 1981 2 27 97000 4 3 2 0 4840 -4 -4 -4 -4 -4 -4 -4 -4 74000 4 3 2 4 4840 -4 -4 -4 -4 -4 -4 -4 -4 -3 4 3 2 6 5600 4840 -4 -4 -4 -4 -4 -4 -4 -4 -4 85000 3 3 1 0 4840 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4
5 1 10 1982 2 25 313365 2 3 -4 7 3740 9130 -4 -4 -4 -4 -4 -4 -4 129750 3 3 1 4 3740 -4 -4 -4 -4 -4 -4 -4 -4 130000 3 3 1 1 3740 9130 -4 -4 -4 -4 -4 -4 -4 -4 -4 210000 4 3 2 4 3740 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4
6 2 1 1982 2 26 53550 3 3 1 1 2540 -4 -4 -4 -4 -4 -4 -4 -4 70450 3 3 1 2 2540 -4 -4 -4 -4 -4 -4 -4 -4 55000 4 3 1 0 2540 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 37500 4 2 2 4 2300 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4
7 1 4 1983 2 -5 -3 5 2 -4 1 3920 9140 8300 9620 -4 -4 -4 -4 -4 97990 2 2 -4 6 3920 -4 -4 -4 -4 -4 -4 -4 -4 14766 2 2 -4 7 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -5 2600 2 2 -4 2 9130 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4
8 2 6 1981 4 -5 18750 2 3 -4 0 710 -4 -4 -4 -4 -4 -4 -4 -4 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 66750 2 3 -4 0 4710 710 -4 -4 -4 -4 -4 -4 -4 -4 -5 115000 1 3 -4 0 430 4850 4710 -4 -4 -4 -4 -4 -4 -4 -4 -4
9 1 10 1982 4 26 177000 4 3 -4 7 3920 -4 -4 -4 -4 -4 -4 -4 -4 94000 3 3 -4 0 3920 -4 -4 -4 -4 -4 -4 -4 -4 110000 3 3 -4 0 2330 3920 -4 -4 -4 -4 -4 -4 -4 -4 -4 157000 2 3 -4 1 2330 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4
10 1 3 1984 4 24 135750 3 3 -4 7 4760 -4 -4 -4 -4 -4 -4 -4 -4 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5
11 2 6 1982 2 26 -3 4 3 1 3 5860 -4 -4 -4 -4 -4 -4 -4 -4 -3 4 3 1 2 5860 -4 -4 -4 -4 -4 -4 -4 -4 34500 2 3 0 5 5860 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 36000 1 3 0 5 5860 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4
12 1 10 1981 2 27 61500 3 3 -4 1 4850 50 -4 -4 -4 -4 -4 -4 -4 56000 3 3 -4 21 4850 50 -4 -4 -4 -4 -4 -4 -4 143000 3 3 -4 7 4850 50 -4 -4 -4 -4 -4 -4 -4 -4 -4 68000 1 3 -4 20 4850 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4
13 1 11 1984 2 24 55000 4 3 -4 4 4110 4010 -4 -4 -4 -4 -4 -4 -4 -3 2 3 -4 7 4110 -4 -4 -4 -4 -4 -4 -4 -4 17750 2 3 -4 7 4110 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -3 1 3 -4 3 4110 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4
14 1 7 1980 2 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 13036 2 3 0 2 5850 -4 -4 -4 -4 -4 -4 -4 -4 -4 -5 17500 2 3 0 5 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4
15 2 1 1983 2 -5 -3 2 3 -4 -2 4760 4040 -4 -4 -4 -4 -4 -4 -4 82000 3 3 -4 1 4760 -4 -4 -4 -4 -4 -4 -4 -4 187000 3 3 -4 12 4760 -4 -4 -4 -4 -4 -4 -4 -4 -4 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5
