"H40-CHRC-2","H40-CHRC-2A~Y","CASEID","SAMPLE_RACE","SAMPLE_SEX","C1DOB~Y","OCCALL-EMP.01","OCCALL-EMP.02","OCCALL-EMP.03","OCCALL-EMP.04","OCCALL-EMP.05","Q11-GENHLTH_6A","Q11-GENHLTH_7F_1","Q11-GENHLTH_7F_2","FAMSIZE","TNFI_TRUNC","AGEATINT","SMSARES","NUMCH08","OCCALL-EMP.01","OCCALL-EMP.02","OCCALL-EMP.03","OCCALL-EMP.04","OCCALL-EMP.05","Q11-GENHLTH_6A","Q11-GENHLTH_7F_1","Q11-GENHLTH_7F_2","FAMSIZE","TNFI_TRUNC","AGEATINT","SMSARES","NUMCH10","OCCALL-EMP.01","OCCALL-EMP.02","OCCALL-EMP.03","OCCALL-EMP.04","OCCALL-EMP.05","Q11-GENHLTH_6A","Q11-GENHLTH_7F_1","Q11-GENHLTH_7F_2","FAMSIZE","TNFI_TRUNC","AGEATINT","SMSARES","NUMCH12","OCCALL-EMP.01","OCCALL-EMP.02","OCCALL-EMP.03","OCCALL-EMP.04","OCCALL-EMP.05","Q11-GENHLTH_6A","Q11-GENHLTH_7F_1","Q11-GENHLTH_7F_2","FAMSIZE","TNFI_TRUNC","AGEATINT","SMSARES","NUMCH14","OCCALL-EMP.01","OCCALL-EMP.02","OCCALL-EMP.03","OCCALL-EMP.04","OCCALL-EMP.05","Q11-GENHLTH_6A","Q11-GENHLTH_7F_1","Q11-GENHLTH_7F_2","FAMSIZE","TNFI_TRUNC","AGEATINT","SMSARES","NUMCH16","OCCALL-EMP.01","OCCALL-EMP.02","OCCALL-EMP.03","OCCALL-EMP.04","OCCALL-EMP.05","Q11-GENHLTH_6A","Q11-GENHLTH_7F_1","Q11-GENHLTH_7F_2","FAMSIZE","TNFI_TRUNC","AGEATINT","SMSARES","NUMCH20","OCCALL-EMP.01","OCCALL-EMP.02","OCCALL-EMP.03","OCCALL-EMP.04","OCCALL-EMP.05","Q11-GENHLTH_6A","Q11-GENHLTH_7F_1","Q11-GENHLTH_7F_2","FAMSIZE","TNFI_TRUNC","AGEATINT","SMSARES","NUMCH22"
0,-4,11,3,1,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,12,3,2,1989,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
0,-4,13,3,1,1989,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
0,-4,14,3,2,-4,800,5120,800,-4,-4,1,0,2,1,109750,44,3,0,120,-4,-4,-4,-4,1,0,2,1,106000,46,3,0,800,-4,-4,-4,-4,4,0,1,1,103000,49,2,0,800,-4,-4,-4,-4,3,0,1,1,77440,51,2,0,800,800,-4,-4,-4,4,0,2,1,72500,53,2,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
0,-4,15,3,1,1997,-4,-4,-4,-4,-4,4,0,2,6,241000,44,2,4,-4,-4,-4,-4,-4,4,0,1,6,440692,45,2,4,-4,-4,-4,-4,-4,4,0,2,6,497763,48,2,4,-4,-4,-4,-4,-4,4,0,2,6,595986,50,2,4,-4,-4,-4,-4,-4,4,0,2,6,922631,52,2,4,-4,-4,-4,-4,-4,-4,0,2,6,803437,56,2,4,-4,-4,-4,-4,-4,4,0,2,4,773981,58,2,2
0,-4,16,3,2,1990,110,-4,-4,-4,-4,4,0,2,4,66000,49,2,3,5700,2140,110,-4,-4,1,2,1,4,119000,51,2,3,5700,-4,-4,-4,-4,4,7,2,4,90000,54,2,3,5700,4900,-4,-4,-4,4,0,2,4,94000,56,3,3,5700,710,-4,-4,-4,4,2,2,2,107300,58,2,1,5700,-4,-4,-4,-4,-4,-4,-4,3,93000,62,2,2,5700,-4,-4,-4,-4,1,3,2,2,107000,64,2,1
0,-4,17,3,1,-4,6660,-4,-4,-4,-4,4,10,2,2,94600,51,2,0,6660,-4,-4,-4,-4,3,7,2,2,89000,53,2,0,6660,-4,-4,-4,-4,3,0,2,1,60000,55,2,0,6660,-4,-4,-4,-4,3,0,2,1,68000,58,2,0,6660,-4,-4,-4,-4,3,0,2,1,73000,59,2,0,6660,-4,-4,-4,-4,-4,0,2,1,77000,63,2,0,6660,-4,-4,-4,-4,3,0,2,1,70000,65,2,0
0,-4,18,3,1,1983,4850,-4,-4,-4,-4,1,0,1,2,101000,49,3,1,4850,-4,-4,-4,-4,1,0,2,3,60000,51,3,1,4760,-4,-4,-4,-4,1,0,2,1,150000,54,3,0,4760,-4,-4,-4,-4,1,0,2,1,151000,56,3,0,4760,-4,-4,-4,-4,3,9,2,1,120050,58,3,0,10,-4,-4,-4,-4,-4,0,2,1,180500,62,3,0,10,-4,-4,-4,-4,4,0,2,2,285500,64,3,0
0,-4,19,3,2,1987,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4,-4,-4,-4,2,0,2,2,-1,51,2,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
0,-4,20,3,2,1990,1460,-4,-4,-4,-4,3,0,2,3,144600,48,2,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,300,-4,-4,-4,-4,3,0,1,3,190500,53,2,1,300,-4,-4,-4,-4,3,0,2,3,195000,55,2,1,300,-4,-4,-4,-4,3,0,2,2,213000,57,2,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,430,-4,-4,-4,-4,4,0,2,2,773981,63,2,0
0,-4,21,3,2,-4,50,-4,-4,-4,-4,1,0,2,2,-2,46,2,0,50,-4,-4,-4,-4,1,0,2,2,440692,48,2,0,1810,1810,-4,-4,-4,4,0,2,2,497763,51,2,0,1810,-4,-4,-4,-4,3,0,2,2,595986,53,2,0,1810,-4,-4,-4,-4,4,0,1,2,230000,55,2,0,1810,-4,-4,-4,-4,-4,0,1,2,56000,59,2,0,-4,-4,-4,-4,-4,1,0,2,2,134000,61,2,0
0,-4,22,3,2,-4,420,-4,-4,-4,-4,1,0,2,2,96000,45,3,0,1060,420,-4,-4,-4,1,0,2,2,133250,47,3,0,1060,4430,-4,-4,-4,1,0,2,1,40250,49,3,0,3630,1060,-4,-4,-4,1,0,2,1,35700,51,3,0,3630,-4,-4,-4,-4,1,0,2,1,45200,54,3,0,3630,-4,-4,-4,-4,-4,-4,-4,1,72200,58,3,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,23,3,1,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
-4,-4,24,3,1,1986,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
0,-4,25,3,2,1990,3640,-4,-4,-4,-4,3,0,2,4,213000,48,2,2,3640,-4,-4,-4,-4,4,0,1,4,440692,50,2,2,3640,-4,-4,-4,-4,3,0,2,4,185000,52,2,2,3640,-4,-4,-4,-4,4,0,2,3,146000,55,2,1,3640,-4,-4,-4,-4,3,0,1,2,172000,57,2,0,3640,-4,-4,-4,-4,-4,2,2,2,218345,60,2,0,3640,-4,-4,-4,-4,3,0,2,2,225000,62,2,0
